normalized,n,GLM,y,no_intercept,intercept,one_intercept,two_intercept,two_b,two_x,too_many_x,same_x,one_x,error,proper_subscripts,extra_b,veto
yi = b0 + b1x1i + b2x2i + ei,83,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1xi + b2xi + ei,82,1,1,0,1,1,0,1,0,0,1,1,1,1,0,
yi = b0 + b1xi + ei,37,1,1,0,1,1,0,0,0,0,0,1,1,1,0,
yi = b0 + b1x1 + b2x2 + ei,26,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
yi = b0 + b1xi1 + b2xi2 + ei,24,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1xi + b2x2i + ei,16,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1xi + b2x2 + ei,14,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1xi + b2xi2 + ei,13,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1x1i + b2x2i,7,1,1,0,1,1,0,1,1,0,0,0,0,1,0,
yi = b0 + b1x1 + ei,6,1,1,0,1,1,0,0,0,0,1,0,1,0,0,
yi = b0 + b1xi + b2zi + ei,4,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1 + b2xi + b3xi + ei,3,1,1,0,1,0,1,1,1,0,0,0,1,1,0,
yi = b0 + b1xi + b2xi + e,3,1,1,0,1,1,0,1,0,0,1,0,1,1,0,
yi = b0 + b1xi + c0 + c1xi + ei,3,1,1,0,1,0,1,1,0,0,1,0,1,1,0,
yi = b0 + b1xi + e1,3,1,1,0,1,1,0,0,0,0,0,1,1,0,0,
yi = b0 + b1xi1 + b2xi2,3,1,1,0,1,1,0,1,1,0,0,0,0,1,0,
y1 = b0 + b1x1 + b2x2 + e1,2,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
yi = b0 + b1(xi1) + b2(xi2) + ei,2,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1x1 + b2x2 + e,2,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
yi = b0 + b1x1i + b2x2i + e1,2,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
yi = b0 + b1x1i + ei,2,1,1,0,1,1,0,0,0,0,0,1,1,1,0,
yi = b0 + b1xi,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,
yi = b0 + b1xi + b2x2i + b3x3i + ei,2,1,1,0,1,1,0,0,0,1,0,0,1,1,1,
yi = b0 + b1xi + b2xi,2,1,1,0,1,1,0,1,0,0,1,0,0,1,0,
yi = b0 + b1xi + b2xi = ei,2,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
yi = b0 + b1xi + b2yi + ei,2,1,1,0,1,1,0,1,0,0,0,0,1,1,0,
yi = b0xi + b1xi + ei,2,1,1,0,1,1,0,0,0,0,1,0,1,1,0,
yi = b1x1 + b2x2 + ei,2,1,1,1,0,0,0,1,1,0,0,0,1,1,0,
b0 + b1x1 + b2x2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,
b0 + b1x1i + b2x2i,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,
b0 + b1xi + b2x2i + ei,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,
b0 + bixi + b2x2 + ei,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,
winpercent = b0 + b1chocolate1i + b2sugarpercent2i + errori,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,
winpercenti = b0 + b1chocolatei1 + b2sugarpercenti2 + ei,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,
winterpercent i = (b0 + b1(chocolate i)) + (b0 + b1(sugarpercent i) + ei,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,
y = b0 + (b1  x) + (b2  x) + e,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
y = b0 + b1xi + b2xi + e,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
y = b0 b1 xi + b2 x2 + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
y^ = b0 + b1x1 + b2x2 + ei,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,
y0 = b0 + b1x1 + ei,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,
y1 = b0 + b1x1 + b2x1 + e1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,
y1 = b0 + b1x1 + b2x2 + e,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
y1 = b0 + b1x1 + b2x2 + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
y1 = b0 + b1x1i + b2x2i + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
y1 = b0 + b1xi + b2xi + e1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,
y1 = b0 + b1xi1 + b2xi2 + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yhat = b0 + b1(xi) + b2(xi),1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,
yi = (b0 + b1 x1i) + (b0 + b1 + x2i) + ei,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,
yi = (b0 + b1(xi))1 + (b0 + b1(xi))2 + ei,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,
yi = (b0 + b1xi + ei) + (b0 + b1xi + ei) + ei,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,
yi = (b01 + b1xi1 + b02 + b1_2xi2)/2 + ei,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,
yi = b0 + (b1  x1i) + (b2  x2i) + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + (b1)(xi) + (b2)(x2) + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + (b1)(xi) + (b2)(xt) + error,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1  x1i + b2  x2i + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1 + b2 + ei,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,
yi = b0 + b1 + xi,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,
yi = b0 + b1 x1i + b2 x2i + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1 x1i + b2x2i + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1(x1) + b2(x2) + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
"yi = b0 + b1(x1) + bi(xi) + ei (the first x1 represents chocolate (qualitative), the second xi represents sugarpercent (quantitative))",1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
yi = b0 + b1(x1i) + b2 + b3(x2i) + ei,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,
yi = b0 + b1(xi) + b2(xi) + ei,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,
yi = b0 + b1(xi) + ei,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,
yi = b0 + b1x1 + b1x2 + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1x1 + b2 ix2i + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1x1 + b2x2 + b3x3 + ei,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,
yi = b0 + b1x1 + b2x2 + b3xi + ei,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,
yi = b0 + b1x1 + b2x2 + e1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1x1 + b2x2i + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1x1 + c1x1 + ei,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,
yi = b0 + b1x1i + b0(2) + b1(2)xi2,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,
yi = b0 + b1x1i + b1x2i + e0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
yi = b0 + b1x1i + b2 + b3x2i + ei,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,
yi = b0 + b1x1i + b2 + ei,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,
yi = b0 + b1x1i + b2x2i + b3x3i,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,
yi = b0 + b1x1i + b2x2i + b3x3i + b4x4i + ei,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,
yi = b0 + b1x1i + b2x2i + ei),1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1x1i + b2x2i + ei.,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1x1i + b2xi + e1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,
yi = b0 + b1x1i + b2xi + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
yi = b0 + b1x1x2 + b2x1x2 + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1
yi = b0 + b1xi + b0 + b1zi + ei,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,
yi = b0 + b1xi + b02 + b2xi + ei,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,
yi = b0 + b1xi + b2 + b3xi,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,
yi = b0 + b1xi + b2 + b3xi + e,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,
yi = b0 + b1xi + b2 + b3xi + ei,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,
yi = b0 + b1xi + b2 + xi2 + ei,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,
yi = b0 + b1xi + b2 xi + ei,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,
yi = b0 + b1xi + b2wi + ei,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,
